Tue Mar  5 22:51:41 2024    output.prof

         3383 function calls (3351 primitive calls) in 5.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\json\decoder.py:332(decode)
       23    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1513(_register)
       34    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2530(_setup)
        3    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:881(clear_info)
        5    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2804(create_rectangle)
        6    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:626(clear_canvas)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2678(__init__)
       12    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\ntpath.py:77(join)
        6    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2821(delete)
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\json\decoder.py:343(raw_decode)
       35    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:632(destroy)
        5    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3110(__init__)
       33    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\codecs.py:319(decode)
      782    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2282(_loadtk)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tokenize.py:295(detect_encoding)
       25    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\ntpath.py:124(splitdrive)
       33    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1656(__setitem__)
       25    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
       25    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:61(_stringify)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tokenize.py:319(read_or_stop)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      190    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2189(wm_protocol)
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3300(add_command)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:505(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3287(add)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:329(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:594(format)
       25    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:951(get_input_json)
      147    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
       34    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2569(<listcomp>)
       10    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:388(format)
      174    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\ntpath.py:214(basename)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\ntpath.py:180(split)
       50    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      158    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'getvar' of '_tkinter.tkapp' objects}
      232    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       54    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\codecs.py:309(__init__)
       14    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:630(<lambda>)
       23    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1881(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\_collections_abc.py:664(__contains__)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tokenize.py:325(find_cookie)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2796(create_oval)
       39    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1431(quit)
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\linecache.py:147(lazycache)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\os.py:670(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:546(format_exception_only)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:517(get)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\ntpath.py:203(splitext)
        7    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:85(is_nonempty_list)
       35    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       33    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\classes\roof.py:26(__init__)
       39    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\genericpath.py:121(_splitext)
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1537(_root)
        5    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\codecs.py:260(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\os.py:740(encodekey)
        1    0.000    0.000    0.000    0.000 {method 'globalgetvar' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:145(_format_final_exc_line)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2224(wm_title)
       27    0.000    0.000    0.000    0.000 {method 'getint' of '_tkinter.tkapp' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3940(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:243(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:153(_some_str)
        4    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:305(walk_tb)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:531(_load_lines)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\os.py:734(check_str)
        6    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\linecache.py:53(checkcache)
        2    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        4    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
